cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
415,56.63,3.39,18.805,3.447,3.87,210.0,100,0,0.8614,31397.02,25.99,593.49,-4.0,26.0,0.11,0.041,-0.005,0.191,0.145,0.124,551.67,0.0,551.67,4.1,5465,92.09,71.7,22323.34,56,449,449
416,58.688,3.467,17.76,3.664,4.232,210.0,100,0,0.7842,31858.82,29.49,325.5,-4.0,26.1,0.112,0.05,-0.004,0.188,0.151,0.12,763.44,462.0,301.44,5.8,5494,489.21,101.01,22549.85,56,450,450
417,58.233,3.599,18.96,3.694,4.207,210.0,100,0,0.7991,30628.81,29.08,324.5,-4.0,28.4,0.123,0.047,-0.01,0.183,0.157,0.116,236.21,0.3,235.91,1.9,5486,120.0,93.85,22778.14,55,450,450
418,60.518,3.558,18.181,3.21,3.771,210.0,100,0,0.7682,30170.14,29.47,275.94,-4.0,29.3,0.12,0.055,-0.005,0.191,0.168,0.123,318.53,0.0,318.53,2.4,5483,401.49,104.03,23011.96,55,450,450
419,56.846,3.41,17.927,3.305,4.125,210.0,100,0,0.7854,30292.91,30.77,355.36,-5.19,30.8,0.105,0.055,-0.001,0.212,0.165,0.129,636.35,0.6,635.75,5.0,5506,322.4,63.88,23249.79,54,450,450
420,56.63,3.129,18.971,3.156,4.507,210.0,100,0,0.7732,29942.95,38.28,317.1,-4.0,31.0,0.106,0.052,-0.005,0.218,0.175,0.13,602.36,0.2,602.16,4.8,5527,505.08,85.24,23484.52,54,450,450
421,58.907,3.221,18.9,3.429,4.728,210.0,100,0,0.7531,28840.13,32.54,271.94,-4.0,32.0,0.108,0.058,-0.0,0.216,0.174,0.128,212.48,232.9,-20.42,1.6,5515,146.05,99.08,23725.01,54,450,450
422,54.684,3.224,20.122,3.262,4.848,210.0,100,0,0.7714,27443.23,27.09,320.94,-4.0,34.5,0.107,0.062,-0.003,0.23,0.174,0.127,661.5,231.1,430.4,5.0,5537,80.0,64.21,23972.09,52,452,452
423,54.141,3.437,20.959,3.349,4.811,210.0,100,0,0.7956,26818.39,26.47,319.94,-4.0,33.7,0.086,0.059,-0.015,0.263,0.174,0.149,267.64,0.0,267.64,1.9,5529,190.0,64.83,24216.33,51,452,452
424,53.568,3.368,21.892,3.447,4.775,210.0,100,0,0.7804,25592.8,25.54,243.54,-4.0,35.9,0.094,0.065,-0.005,0.253,0.19,0.161,440.12,0.6,439.52,3.0,5532,370.0,53.65,24467.33,51,453,453
